[Spectrum]																																																																																																																																				
IDData	00E5_2023-03-10_14-52-09_546_301	00E5_2023-03-10_14-52-12_546_313	00E5_2023-03-10_14-52-14_546_323	00E5_2023-03-10_14-52-16_546_335	00E5_2023-03-10_14-52-18_546_343	00E5_2023-03-10_14-52-20_546_353	00E5_2023-03-10_14-52-22_546_365	00E5_2023-03-10_14-52-24_546_373	00E5_2023-03-10_14-52-26_546_383	00E5_2023-03-10_14-52-28_546_395	00E5_2023-03-10_14-52-30_546_403	00E5_2023-03-10_14-53-31_855_418	00E5_2023-03-10_14-53-34_855_430	00E5_2023-03-10_14-53-36_855_440	00E5_2023-03-10_14-53-38_855_452	00E5_2023-03-10_14-53-40_855_460	00E5_2023-03-10_14-53-42_855_470	00E5_2023-03-10_14-53-44_855_482	00E5_2023-03-10_14-53-47_855_499	00E5_2023-03-10_14-53-50_855_511	00E5_2023-03-10_14-53-52_855_521	00E5_2023-03-10_14-53-54_855_533	00E5_2023-03-10_14-53-57_855_550	00E5_2023-03-10_14-54-00_855_560	00E5_2023-03-10_14-54-02_855_572	00E5_2023-03-10_14-54-04_855_580	00E5_2023-03-10_14-54-06_855_590	00E5_2023-03-10_14-54-08_855_602	00E5_2023-03-10_14-54-11_855_619	00E5_2023-03-10_14-54-42_415_631	00E5_2023-03-10_14-54-45_414_643	00E5_2023-03-10_14-54-48_414_655	00E5_2023-03-10_14-54-50_414_665	00E5_2023-03-10_14-54-52_414_677	00E5_2023-03-10_14-54-54_414_685	00E5_2023-03-10_14-54-56_414_695	00E5_2023-03-10_14-54-58_414_707	00E5_2023-03-10_14-55-01_414_724	00E5_2023-03-10_14-55-04_414_736	00E5_2023-03-10_14-55-06_414_746	00E5_2023-03-10_14-55-08_414_758	00E5_2023-03-10_14-55-11_414_775	00E5_2023-03-10_14-55-14_414_787	00E5_2023-03-10_14-55-16_414_797	00E5_2023-03-10_14-55-55_677_814	00E5_2023-03-10_14-55-58_677_826	00E5_2023-03-10_14-56-00_677_836	00E5_2023-03-10_14-56-02_677_848	00E5_2023-03-10_14-56-04_677_856	00E5_2023-03-10_14-56-06_677_866	00E5_2023-03-10_14-56-08_677_878	00E5_2023-03-10_14-56-10_677_886	00E5_2023-03-10_14-56-12_677_896	00E5_2023-03-10_14-56-45_927_913	00E5_2023-03-10_14-56-48_927_925	00E5_2023-03-10_14-56-50_927_935	00E5_2023-03-10_14-56-52_927_947	00E5_2023-03-10_14-56-54_927_955	00E5_2023-03-10_14-56-56_927_965	00E5_2023-03-10_14-56-58_927_977	00E5_2023-03-10_14-57-00_927_985	00E5_2023-03-10_14-57-02_927_995	00E5_2023-03-10_14-57-04_927_007	00E5_2023-03-10_14-57-06_927_015	00E5_2023-03-10_14-57-08_927_025	00E5_2023-03-10_14-57-10_927_037	00E5_2023-03-10_14-58-30_167_049	00E5_2023-03-10_14-58-34_167_060	00E5_2023-03-10_14-58-37_167_072	00E5_2023-03-10_14-58-39_167_082	00E5_2023-03-10_14-58-42_167_099	00E5_2023-03-10_14-58-45_167_111	00E5_2023-03-10_14-58-47_167_121	00E5_2023-03-10_14-59-29_346_132	00E5_2023-03-10_14-59-32_345_144	00E5_2023-03-10_14-59-34_345_154	00E5_2023-03-10_14-59-36_345_162	00E5_2023-03-10_14-59-39_345_174	00E5_2023-03-10_14-59-41_345_184	00E5_2023-03-10_14-59-43_345_192	00E5_2023-03-10_14-59-46_345_204	00E5_2023-03-10_14-59-48_345_214	00E5_2023-03-10_14-59-50_345_222	00E5_2023-03-10_14-59-53_345_234	00E5_2023-03-10_14-59-55_345_244	00E5_2023-03-10_14-59-57_345_252	00E5_2023-03-10_15-00-00_345_262	00E5_2023-03-10_15-00-36_756_270	00E5_2023-03-10_15-00-39_756_282	00E5_2023-03-10_15-00-42_756_294	00E5_2023-03-10_15-00-44_756_304	00E5_2023-03-10_15-00-47_756_321	00E5_2023-03-10_15-00-50_756_333	00E5_2023-03-10_15-00-52_756_343	00E5_2023-03-10_15-01-24_316_358	00E5_2023-03-10_15-01-52_397_370	00E5_2023-03-10_15-01-55_397_384	00E5_2023-03-10_15-01-58_397_396	00E5_2023-03-10_15-02-01_397_411	00E5_2023-03-10_15-02-04_397_423	00E5_2023-03-10_15-02-06_397_433	00E5_2023-03-10_15-02-09_397_450	00E5_2023-03-10_15-02-12_397_462	00E5_2023-03-10_15-02-15_397_477	00E5_2023-03-10_15-02-18_397_489	00E5_2023-03-10_15-02-20_397_499	00E5_2023-03-10_15-02-50_207_516	00E5_2023-03-10_15-02-53_207_528	00E5_2023-03-10_15-02-56_207_540	00E5_2023-03-10_15-02-58_207_550	00E5_2023-03-10_15-03-01_207_567	00E5_2023-03-10_15-03-04_207_579	00E5_2023-03-10_15-03-06_207_589	00E5_2023-03-10_15-03-09_207_612	00E5_2023-03-10_15-03-13_207_624	00E5_2023-03-10_15-06-33_766_646	00E5_2023-03-10_15-06-38_766_681	00E5_2023-03-10_15-06-46_766_703	00E5_2023-03-10_15-07-16_888_738	00E5_2023-03-10_15-07-25_888_757	00E5_2023-03-10_15-07-30_888_780	00E5_2023-03-10_15-07-56_767_801	00E5_2023-03-10_15-08-01_766_820	00E5_2023-03-10_15-08-06_766_837	00E5_2023-03-10_15-08-11_766_856	00E5_2023-03-10_15-08-41_157_873	00E5_2023-03-10_15-08-46_157_892	00E5_2023-03-10_15-08-51_157_916	00E5_2023-03-10_15-08-56_157_937	00E5_2023-03-10_15-09-22_937_972	00E5_2023-03-10_15-09-31_937_000	00E5_2023-03-10_15-09-38_937_026
889.46219465696	46.0375096437675	46.0149568600811	45.8044642123407	45.3032912415304	45.5446895558041	45.1796685753972	45.4436196733573	45.3960082411304	45.5831128168995	45.8662755454073	45.5806069520455	38.2350817765359	44.242475119982	31.2713888899506	45.8704519868308	46.6113526953453	47.0699259636367	47.3221830256112	47.148443062397	46.7140931543614	46.8001278476839	46.9680207929053	46.5637412631183	46.5244827137382	46.4810477229346	46.5403531911472	46.7909396765523	46.482718299504	46.1770027873097	44.8196593246985	43.8348544370563	44.3944975877944	44.1280406249803	44.0862762107461	44.1355582195425	43.5984678524908	43.1173418005129	43.2509879260623	43.9760181571679	43.9868769048687	43.5692327625268	43.1240241067904	43.3194815654064	43.2902464754424	36.9955139620651	36.3748947665451	36.9203380164436	36.9362084938526	36.8142564042888	36.9462319532688	35.870380642596	36.2203664338786	36.5937402971322	41.5469998253073	41.4217065826047	41.4492710959993	40.818628441063	41.7675159324638	41.1636025026374	41.0232740708105	40.7459583602955	40.86623987329	41.2863898804859	40.6357003067172	40.6323591535785	40.5429833071173	14.7566701374778	15.1726437032503	16.2446318056064	17.5686681478659	17.0290719159601	16.9223638375918	16.4643126244783	17.1118698671794	16.7368254273564	17.3513887828125	17.5320198743754	17.7915857088409	17.2125221054838	17.360576953944	17.4868098959669	17.7341596392689	18.028076704442	18.2597647924062	18.4206621982434	18.1857373681761	18.1064893921667	21.4547424813218	21.4306235321015	21.1790973473761	21.2297366996351	21.1408829083518	20.9985706668488	20.3351429467387	18.6604943469832	17.4212397656192	16.8769450371121	16.8655642342333	16.7802604181599	16.4716213969693	16.5763456656615	16.7974882390315	16.4901021502679	18.0715116952455	17.5742019327519	17.6345515113203	13.6555513561933	13.7489992330423	14.1362597640289	14.9976508076091	13.8552896672684	14.5243555833001	14.5575582926163	13.4478909992668	13.1112176150214	2.26085549616394	2.45324917882287	2.23218491372952	2.02144099156644	1.91126124626486	2.03812065450122	2.39980048176932	2.37808298636754	2.29917434622381	2.15602681643612	2.68860140619875	2.90593297676992	2.1921269319898	2.68588671927352	2.15248013943946	2.12491562604489	2.02532054947579
892.75100357424	40.5876059355762	40.4241041747323	40.2839598082947	39.9673373507875	39.9837740357401	39.5590154930186	39.9880994791486	39.8765030392076	40.1325692889948	40.1611172154914	40.1455456192205	33.4411083359393	38.7285303585735	27.236867200924	40.0097266961915	40.8393467419549	41.1429928692364	41.4665360361974	41.3644555717552	41.1014686125142	41.2061443430015	41.0218804537965	40.6654639169305	40.8428070966818	40.7978224852327	40.6568130301133	40.7917668644607	40.5815503148042	40.7476473416933	39.3263066376376	38.5399410259599	38.8859764986454	39.9647420847424	33.9264230863807	38.7890865662934	34.324363879969	37.9369742148054	37.8885292486295	38.4837102616485	38.5260996070525	38.0935552661956	41.9769383584085	37.9750381168008	37.8046156465032	32.2196031173595	31.7637013820964	32.2351747136304	32.3294693799371	31.9384492958025	31.903845748534	31.2100446257996	31.7282327461461	31.9124966353511	36.1237483379335	36.24313057601	36.1159625397981	35.5718217590001	36.3521317499059	35.9602465770896	35.9706276412701	35.7301329877537	35.7301329877537	35.9939850356764	35.6159412817675	35.5969093307698	36.2517814628271	12.9112379355068	13.264194117646	14.2226042408996	15.3564110943707	14.8676359892024	14.7746389559182	14.3936755277085	14.943655657108	14.6311423708389	15.1586301945139	15.310669530325	15.5444597465582	15.0478988432545	15.1798248672158	15.2716324035627	15.4733062024872	15.7426731907558	15.9612162189737	16.1025500823487	15.8903870831584	15.8180440421501	18.6920849149735	18.6865699746276	18.4494275397528	18.497980642014	18.456564521377	18.322800183967	18.01136825855	16.2438839457237	15.1628475018372	14.7081352635114	14.7041342283585	14.6138405972046	14.3623160629964	14.4260082171876	14.6200043540619	14.3697774528762	15.7506752610617	15.3154275180745	15.354572780922	11.9090326977415	12.0077609435421	12.3484977480521	13.0810115892932	12.0808609371469	12.6531171001005	12.7128082191388	11.7119224756754	11.4226043796848	1.92061640048764	2.08494816430115	1.89151974187423	1.71937514590399	1.61937630110215	1.7239979635469	2.01439742038967	2.01039638523675	1.9408378484227	1.82080679383493	2.26143430706154	2.43980477962239	1.84943582239539	2.25813615646251	1.81237764450808	1.79137220995522	1.70160574221677
896.03859194168	33.5533579893165	33.1255064058333	33.3838318902005	33.0071072254983	33.0080041889857	32.4222870317225	32.899471607012	32.7353272888203	33.210717937135	33.0304282761704	33.2564630749917	30.0991515993924	31.9648356531556	22.1752274014808	32.0500471844573	33.4753221659139	33.91931909217	32.3011969609254	29.838135224563	33.8278288164566	39.2320338279582	35.408278481231	33.2465964766304	33.5434913909552	33.5291399751571	33.3667895839402	33.7650413723396	33.3210444460835	33.1703545802026	32.390893309664	31.7692976129054	31.8536121807197	32.3424572813452	30.7153655152267	31.9468963834079	30.4983003512793	31.2086954332891	30.9647213647201	31.5818322440417	31.5773474266048	31.371045824506	31.5226326538742	31.2320164839611	30.9745879630813	26.3946923964876	25.954283324181	28.235261472604	26.6862055298881	26.474522146865	26.0511553808187	25.6224068338482	25.8852171356523	26.1408517295574	29.6192761336408	29.6784757238083	29.740366204438	29.3537749413745	29.6461850382624	32.6142372180232	29.3959322252817	29.3887565173826	29.5179192595662	29.5977490099436	29.2380666515017	28.0720141178997	29.2030850754937	10.5788355124882	10.8459063908574	11.6115768477774	12.5449794768386	12.1471761701829	12.0689161059084	11.762715195402	12.193706151091	11.9362776302112	12.3621110458478	12.5278250501424	12.6874845508971	12.2957357477812	12.414359168988	12.503494915547	12.6459999896055	12.8728196314783	13.0126338150746	13.1228482035871	12.9674492793975	12.9186768897709	15.2326184463553	15.2127731291969	15.0355107200022	15.5096680435217	15.0388743330799	14.9183448644624	14.6620375479418	13.2169172493268	12.3079568752968	11.5438561044798	11.9372867141345	11.8860476749176	11.6999277512849	11.7498213452708	11.8904203719186	11.7016095578238	12.8246078440312	12.4762496496177	12.4946374011091	9.6971204043876	9.78132285176598	10.0639784707285	10.6902832257959	9.85307993075687	10.3293675425589	10.7141648786476	9.53138780630021	9.3050727063891	1.50055607563686	1.63166226194643	1.47878604756505	1.33629963700927	1.26087061374189	1.34714728918484	1.56297912833713	1.55983975613128	1.50739542222817	1.40665521055112	1.74293242799398	1.87943905873056	1.43583455400015	1.74607180019983	1.39874607137033	1.38100301238547	1.30886752692334
899.32494824	28.9126169493098	28.7532181749673	29.1559098154117	28.5127217785907	28.496875116814	27.9385133283273	28.3840841712265	28.2806147913901	28.6404272293798	28.6376307596545	28.922870671636	24.0812494205515	27.8154686604137	19.1103474821441	28.0214752635115	28.932192237387	29.5949555622852	28.5509401981699	28.6590703608819	29.2481933163469	30.1160310877677	29.9678181923263	31.3791032470321	28.9191420453356	28.8203334483747	28.8361801101514	29.2836152662008	25.6006646379693	28.5649225467965	28.0233395766617	30.3472059183932	27.7502177001565	28.0065607583098	26.7518780082213	27.3941338884672	26.459180843639	26.9457665758427	28.5546688244703	27.6355624414189	24.5100414450989	27.0641504608808	27.1713484670176	26.8525509183325	26.920598348315	22.9663901567285	22.5254800967048	23.6207640724507	23.2861198619888	22.8144486349867	22.7100470985752	22.0799092538056	22.218800583496	22.6019169358633	25.6463403101493	25.6239685523468	25.6379509009734	25.4039796006226	25.607189733995	26.0742001781215	25.1457722293191	25.4403337070516	25.4067760703479	25.6239685523468	25.2837314024343	24.9108687723931	25.2138196593016	9.13986800359002	9.38805469171117	10.0243680737908	10.8098265078869	10.474017101706	10.4136599634681	10.1457814676979	10.5097886102756	10.2988881851586	10.6659248366053	10.8003884225639	11.0355249186336	10.6263081821635	10.7118335479292	10.7625195617004	10.9064212329819	11.1190694516772	11.197254084414	11.3096954712858	11.173367572177	11.1331683198757	13.1310128994649	13.0999021737709	13.4190492811717	13.0539934624471	12.9422511930066	12.8253820624031	12.6429124128267	11.3214639480465	10.5760882466798	10.1154863790071	10.2600871677199	10.227811246307	10.049070223031	10.0841426141693	10.1736296453791	10.0340391982575	11.0186295807099	10.7216211919677	10.6463495485282	8.37247010313656	8.41802925574471	8.6677306983004	9.23261758281276	8.486309724871	8.88270930843351	9.05818778369663	8.18980354899342	7.99550716287041	1.24231301257521	1.35157370981082	1.23045161483339	1.10149910994873	1.04303541475399	1.11172370238189	1.28673609935746	1.2834735513446	1.23316622618201	1.15783632295651	1.43337598057833	1.54063224650111	1.17557642777644	1.42982213363575	1.14569819123146	1.13145367356817	1.07274237428317
902.61006094992	28.1550581317192	28.0940559103648	28.1637727347698	27.5653699919601	27.4269046323779	27.2477711252261	27.6060381395297	27.3939827986311	27.820030058884	27.8868420156054	27.9042712217067	22.9621230027734	26.7888020312265	18.5280191388358	27.3688072787071	28.9074188617566	28.5326909305797	27.8490787357194	28.1008339349597	28.2073457500229	28.9519601662376	28.7805729729086	29.2356689099969	27.9003980647953	28.0243390859598	28.1453752394407	28.4184328016937	27.2593905959603	28.9965014707186	27.0744473534414	27.3097416358084	26.8255970218847	27.0918765595427	26.1197141747839	26.4905689490495	25.6588085023285	25.9725342121511	27.1383544424794	26.8459310956694	25.4816115736324	29.4593437216297	26.1022849686826	25.9105637015688	26.1555408762142	22.3269252693055	22.0432165255462	22.7975138340394	22.4673272073434	22.2213817434702	21.95607049504	21.1097857099013	21.5329281024706	22.1051870361285	23.611845074659	24.7912213541772	27.4375558138842	24.545275890304	24.9655134151898	25.1891882268225	24.2944889802915	24.513322345785	24.5307515518863	26.35984990329	24.3680789616079	24.2247721558865	24.3477448878231	8.83799718239492	9.09144688778399	9.71320960821551	10.4681120974761	10.1606802676345	10.1045194924194	9.84804388319327	10.2218035251424	9.97876292895267	10.3491335586043	10.4692014228574	10.5151951611801	10.2665869019303	10.3750352954492	10.4037208638242	10.3876230554112	10.7784487950012	10.8596640539869	10.9721066405706	10.8479235470992	10.7669503604205	12.6919093453812	12.6966297553669	12.6904569115394	12.5770460357278	12.5263318874192	12.4027539747152	12.2458911198039	10.9364009752938	10.2100630182547	9.84489694320276	9.93627923908086	9.88532301846539	9.69529625750034	9.74915734579935	9.86389961929927	9.72325560895443	10.6697583291753	10.4091674907309	10.2372961527879	8.1127485507372	8.1775028928495	8.38459575145536	8.90166219912589	8.21357166658681	8.57087039166252	8.64639695143461	7.91179009975583	7.71649826611435	1.19429462250117	1.30090273514792	1.17481332225916	1.05455838330744	0.998730457514357	1.05918801617808	1.22409977529585	1.22180008837971	1.18261463369026	1.10109678432085	1.36934315947296	1.47966761337083	1.12878380442961	1.36946419562644	1.09576158451693	1.08287123417121	1.024335124444
905.89391855216	27.5390927631468	27.330085931932	27.330085931932	27.0150611428546	26.5798826681997	26.6838812363887	27.1119918471862	26.7999961426191	27.3896579273024	27.3684543357299	27.0776622227354	22.3058444240826	26.0598898272547	18.0475506066115	26.5919990062411	27.6511688900301	27.6966051576855	27.0746331382251	27.627945908784	27.5754417772711	28.0429304867033	27.8823890076542	28.0479789608872	27.4189390775692	27.4209584672428	27.5653448289033	27.5047631386961	26.7323465885544	28.2892960268792	26.4122733252931	26.512233114135	26.4799228793578	26.1941792405473	25.5984592868432	25.6398567751515	25.3359386292788	25.3904621504652	26.1517720574022	26.1012873155629	25.1329899670847	26.3547207195963	25.3440161879731	25.3803652020974	31.3971367345079	21.6253101040885	21.3658185310344	22.261417851264	21.7898903624847	21.7515219586868	21.2931205027858	20.4288217224966	21.0336289297316	21.1759959017185	23.8920750126741	24.1768089566479	24.8825856475616	23.8112994257312	24.540299097891	24.573619027505	23.7497080406872	23.9052010455523	23.7416304819929	24.6311716332018	25.4076269626906	23.6224864912521	23.8961137920213	8.635245955595	8.87227181853062	9.48654491486059	10.2123892906555	9.92361656733452	9.87186970694922	9.6044267870554	9.99644080743775	9.74982284355265	10.111041171413	10.2339715177918	10.33191191696	10.004518366132	10.09942968079	10.1384291438608	10.2375054497205	10.5291810456972	10.6115973867499	10.7129455059923	10.5857239565572	10.5035600392137	12.3518064379514	12.3680877671945	12.2934965611269	12.2138568808754	12.1995949413058	12.0934507715886	11.9548701552397	10.5871122869578	9.97511100401063	9.63295066619462	9.69189160229203	9.62512553120953	9.44514742655234	9.50585532861413	9.62096054000778	9.47203055158178	10.424930053799	10.1441086773178	10.0375858720368	7.91078991020071	7.98285687917635	8.87126212369384	8.64483805654447	8.02955526537772	8.32489100513776	8.43999621653142	7.71283838584774	7.51601099860168	1.15008025523718	1.25875160444244	1.13664163511858	1.01629568936297	0.958648424775196	1.02225919949274	1.18286378446909	1.17649008581188	1.1339251378486	1.06368824076464	1.32807052318444	1.42891379500849	1.08347194897292	1.32308515492781	1.05846916767675	1.04247181510642	0.987680093728927
909.17650952744	25.5337416852064	25.4106655567396	25.4106655567396	25.2339408594539	24.4207968653953	24.7374286146989	25.0509045658366	24.820531299732	25.3023164863799	25.0908780092703	25.1666171652499	20.5549441122708	23.9547906695765	16.5321979860655	24.6227679480076	25.5747670613621	25.5463648778697	25.0498526331147	25.5505726087575	25.439067740232	25.9071778014947	25.7209857097115	25.6662852081707	25.2949529573264	25.4674699237243	25.3149396790432	25.1950193487422	24.8068561743468	25.7662188167549	24.5112630794821	24.5775348409642	24.3734598929081	24.0757629325995	23.6066009386148	23.5929258132296	23.3141636419159	23.6739246328189	23.8422338683291	23.8653763882117	23.329942632745	23.9968679784541	23.208970369722	23.6066009386148	24.3271748531428	19.864876246679	19.8217470050795	20.3003763935616	20.1878195923142	20.1478461488805	19.6134643261357	18.5425968152021	19.2863132496128	19.1884835064725	22.1128564734619	22.5041754460231	22.557824014842	21.7636148097783	22.3148275560742	22.6335631708216	22.1160122716278	22.2212055438216	23.6223799294439	22.6177841799925	22.5557201493981	21.8319904367043	21.9087815254058	7.94055242308779	8.15199090019746	8.7162213139273	9.39195659618265	9.11950602120053	9.06322762057682	8.8106322757213	9.16224078802929	8.98577907392408	9.31713788133476	9.37420523149993	9.52121282939086	9.1895910387997	9.29320641191066	9.32436991879809	9.39918863364598	9.65572872620876	9.74632643188573	9.85191417885033	9.74303914212967	9.67873975450117	11.3084465239646	11.332509484979	11.2547979551458	11.2262642800632	11.2161394276145	11.1150223947182	10.937508747891	9.60957517803371	9.13055131478089	8.84744992098915	8.8851880073887	8.83219689652104	8.65415728333292	8.70320364649331	8.82785767404304	8.72240141866869	9.54948352129296	9.27821637062303	9.20274019782393	7.24969560795457	7.32714415460731	7.67046869673003	7.94581208669748	7.38763028611878	7.63378254305242	7.76553711647524	7.07387192711158	6.89247927837229	1.04408523392203	1.13798180963159	1.0249647878183	0.918313527855237	0.865355289885138	0.920384520401554	1.06581421920957	1.06509101546324	1.0219289009662	0.957037801181604	1.19342680753976	1.2783703748363	0.975282259327728	1.18882460188128	0.947072457048501	0.937506443858371	0.888114915273595
912.45782235648	24.0033684789861	23.5584317089252	23.9539310600904	23.5913899881889	23.0190145383081	23.2112711673467	23.3606820333425	23.2189614325083	23.9000992039596	23.3628792519601	23.7386036355671	19.4166746147776	22.6312054523043	15.3506744748353	23.4079222336206	23.8089146313298	23.9374519204585	23.5771080671746	23.9022964225772	23.924268608753	24.0769753026752	24.4164455790921	23.7067439656121	23.8726339712398	23.696856481833	23.4782332293833	23.7880410544628	23.0069298359113	23.8704367526222	22.9552951983981	23.1629323577599	22.5543028006888	22.6982206201407	22.0104911928366	22.0950841096136	21.8237276103419	22.1796770263906	22.4147794184722	22.3598489530326	22.828955127887	22.4180752463986	21.7929665496957	22.2873407386523	22.3279892830776	18.6366620055349	18.3938693482918	19.012386389142	19.0530349335673	18.8926379744836	18.3740943807335	17.572109585315	17.9335520479078	17.9302562199814	20.9448401633079	20.8591486372221	20.875627776854	20.4614520674392	20.8393736696638	21.1722522902279	20.0187125159959	20.8800222140891	22.0071953649102	21.1359981830378	20.9525304284694	20.5328616725107	17.4688403102886	7.43090197783799	7.62700373945744	8.15941727573099	8.76873346362001	8.51385610398016	8.46249611879411	8.25554559025033	8.56095897809464	8.3766672665447	8.70542610220084	8.77738501192675	8.86664701826614	8.57221972350976	8.70515144987364	8.72039465403314	8.79358949923144	9.02937852213102	9.1042212812925	9.1922473521595	9.07112567586513	9.02374814942346	10.5675688806041	10.5531496334262	10.5016523220765	10.4520775770173	10.4810533975367	10.3581464811155	10.1752280312016	9.03555819949298	8.44134788959986	8.20748143299066	8.26419713855707	8.24840462974318	8.10201493934659	8.14829385647947	8.24140099539963	8.12137792841405	8.89864401438471	8.65983381588596	8.58842421081444	6.75635586223942	6.817466005041	7.10186848985465	7.45122625005065	6.90288287879962	7.16242932800183	7.24812085408765	6.59457975550706	6.43356482868716	0.959500683836098	1.04541389343459	0.942213281489898	0.85286691780143	0.791997095786148	0.849468095252353	0.960564961603991	0.974022925636698	0.936979193005853	0.876006376367871	1.08704235827872	1.17204725354654	0.891970542886262	1.08594374896993	0.866735388821766	0.856126942683738	0.801453963800864
915.73784552	24.1557577213189	23.6064962961793	24.3733896067516	23.7032215785938	22.9996602981739	23.3669860730576	23.5028620650209	23.1885048971737	23.9024296007095	23.6502529715573	23.9818825112643	19.2031929634038	22.8419059685216	15.535953309764	23.6145567363805	23.889763194679	24.4182977735869	23.7711595745755	23.8010983524657	23.9899429514655	24.3365418801175	24.4229037394162	23.9899429514655	23.8114617755815	23.7515842198011	23.7711595745755	24.323875474087	23.7953408951791	23.8713393313619	23.1815959484298	23.2126862177773	22.927116336363	21.399087172505	22.0462253715164	22.1348902137298	21.8297449775411	22.2442819021748	22.3456131504185	22.7854828871132	21.7433831182424	22.3076139323271	22.1913132951382	22.3778549112234	22.3790064026807	18.9452588769651	18.6078718799715	19.3390689553671	19.3194936005927	18.8819268468127	18.5664181875082	17.8709173472894	17.9388553432711	18.1012156387526	21.4681766599439	21.067457632798	21.001822619731	20.7335251101765	21.0260039403347	21.1261836971211	19.2538585875257	21.2344238941088	21.5245997413524	21.2747260951149	21.1238807142065	21.2850895182307	19.4415516950682	7.52018494452566	7.73868044855133	8.2630408709265	8.88355082998754	8.61381395611132	8.57552686515557	8.33529695987307	8.66059329656477	8.48815745083174	8.79387843274908	8.88743711365598	8.96545065988913	8.69053207445499	8.80913569455851	8.7966132249602	8.90183075687243	9.16451474557259	9.18337041818613	9.31449650788797	9.17199944004514	9.12493222672736	10.7119753277728	10.670953444606	10.6117955709864	10.5701979420908	10.56947825993	10.4691545667114	10.3188849315317	9.16062846190415	8.58445092394977	8.29010092017342	8.36768265711007	8.35372082319012	8.19251201916591	8.23583688524742	8.3023355169074	8.19208020986942	8.9756701465728	8.777181806618	8.71528914078727	6.88053143998675	6.89017518094177	7.13904127215414	7.58294122894937	6.98747620908495	7.24915264275996	7.32860555331475	6.67257587524796	6.50640126431408	0.965332709255883	1.06035689147317	0.952836376646313	0.85162292784595	0.800129669239111	0.855833068486761	0.981993351278921	0.983792556680977	0.952738271441492	0.888830495560466	1.10095681246286	1.18875803608318	0.901676822131146	1.09397589550288	0.877611598786356	0.868759508208241	0.818903526517272
919.01656749872	25.9022783038072	25.5879560758586	25.8480848162298	25.1688597719271	24.5847744058158	25.294106943217	25.089375990147	24.7822795605421	25.2254618589523	25.3735907249971	25.4819777001518	16.9940732458159	24.2463661833883	16.7206297268815	25.2061930633693	25.4940206973912	25.9817620855873	31.1578422990855	25.661418359019	25.598794773374	18.3958781244832	24.5558712124412	25.7722139336215	25.3904509211322	25.3711821255492	25.5433969860727	23.3901090796663	25.4169455150589	25.4097197167153	24.6233119969819	24.6341506944973	24.4438713381147	23.9296353559919	23.8910977648258	23.6803453131361	23.3612058862917	23.599657231632	24.1608609029885	24.4908390273484	23.4443025672437	23.6875711114797	23.6309690244545	23.8477429747639	24.1090760148591	20.3877898678815	20.2300266040453	19.2388879312419	22.0798309800186	20.234843802941	19.9265430736121	18.8739851148878	19.2268449340025	19.1148450596759	23.1131201431599	22.520604678981	22.6470561499948	22.0629707838834	22.6073142591047	19.3737695003232	21.4258962299186	22.4567767936121	22.6735507439215	22.4338950988572	22.3628414151447	23.8971192634455	21.4271005296426	8.07686838456092	8.31080360593645	8.89172768527247	9.55966241966322	9.25858748867799	9.21041549972035	8.9727168417075	9.33460890875176	9.11361990940859	9.69619990086503	9.55017855933719	9.65073758628626	9.37134005033196	9.4601571549726	9.45789909299021	9.57607100340192	9.85622122668368	9.91387707596735	9.99953289383266	9.87759754678363	9.81211374929435	11.512584959499	11.480520479349	11.4078108835161	11.3561765328521	11.3472948223881	11.2613379295918	11.1285638850273	9.86299541263085	9.24142621761183	9.75731811185503	9.03368451523201	8.98385661415395	8.80983530404449	9.12069517028675	8.96263083151949	8.82835141230008	9.6803934669883	9.43486686076984	9.40536151753329	7.40246053915399	7.43422394437293	7.68095485031533	8.07205118566516	7.48450345784747	7.78798698828059	7.10424582001311	7.17905450516297	6.99712997811513	1.05672920034453	1.1586974072326	1.04014915315716	0.930352998063475	0.871078871025756	0.935433637523851	1.07144423759643	1.06993886294151	1.03407331178789	0.96249274694615	1.21008924331513	1.31140095759167	0.988799169040985	1.20143333904931	0.963845475335589	0.949168072450058	0.898041785732127
